id,title,type,tier,description,synopsis,actors,directors,genre,subGenre,imageUrl,duration,url,seasons,n_episode,api_url
6941,Wolverine & The X-Men,tv,free,"When an explosion at the X-Mansion leads to the disappearance of Professor X, the rest of the X-Men are lost. It’s up to Wolverine to reunite them and find out what actually happened. Something tells Wolvy that this is just the beginning...","When an explosion at the X-Mansion leads to the disappearance of Professor X, the rest of the X-Men are lost. It’s up to Wolverine to reunite them and find out what actually happened. Something tells Wolvy that this is just the beginning...",,,Kids,Animation,https://iflix-images.akamaized.net/57fb1a9ab4b68293d428c8fa-1566203615161_s_200x300,,https://piay.iflix.com/tv/wolverine-&-the-x-men-6941,1,{'None': 0},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.6941.json
18211,Wonderballs,tv,free,"Parades of distinctive ball characters! WONDERBALLS! brings the best performances on to the stage. When they meet, they start playing right away. Brush Ball, Sponge Ball, Water Ball, Accordion Ball, Castanets Ball, Xylophone Ball and more join to complete stories of vivacious arts, exciting music and joyful play. They will awake the artistic sensibility of our children and provide a resolute solution for creative art and music education for preschoolers.​","Parades of distinctive ball characters! WONDERBALLS! brings the best performances on to the stage. When they meet, they start playing right away. Brush Ball, Sponge Ball, Water Ball, Accordion Ball, Castanets Ball, Xylophone Ball and more join to complete stories of vivacious arts, exciting music and joyful play. They will awake the artistic sensibility of our children and provide a resolute solution for creative art and music education for preschoolers.​",,,Kids,Animation,https://iflix-images.akamaized.net/5d3684d2e4b0918f2622347e-1563854065432_s_200x300,,https://piay.iflix.com/tv/wonderballs-18211,1,{'1': 50},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.18211.json
13890,Tayo The Little Bus,tv,free,"In a big city where various vehicles are happily living together, our little bus Tayo has just started learning his route in the city. There is lots more to learn for Tayo. Tayo and his friendly friends Rogi, Lani and Gani are helping each other to become great mature buses.","In a big city where various vehicles are happily living together, our little bus Tayo has just started learning his route in the city. There is lots more to learn for Tayo. Tayo and his friendly friends Rogi, Lani and Gani are helping each other to become great mature buses.",,,Kids,Animation,https://iflix-images.akamaized.net/5ae929a2e4b056bd91337864-1531126910568_s_200x300,,https://piay.iflix.com/tv/tayo-the-little-bus-13890,0,{},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.13890.json
15565,Ummi,tv,free,"UMMI is a 22 minutes of 3D musical animated series specifically designed for children, It is a fascinating musical animated series infused with entertainment and educational values for children with ages 2-12. Each episode features fun sing-along and easy listening songs sung by the characters, which subtlety carries a message of moral values and good deeds. The show's aim is to leave a legacy of strong moral values based on the teachings of Islam for our children and the generation after them.","UMMI is a 22 minutes of 3D musical animated series specifically designed for children, It is a fascinating musical animated series infused with entertainment and educational values for children with ages 2-12. Each episode features fun sing-along and easy listening songs sung by the characters, which subtlety carries a message of moral values and good deeds. The show's aim is to leave a legacy of strong moral values based on the teachings of Islam for our children and the generation after them.","Muhammad Khaliq Nur Amani Nordin,Syakir lman,Bringgo,Alif Johan,Nawal Sahril,Putri Dahlia",NORA ARIFFIN,Kids,Animation,https://iflix-images.akamaized.net/5c049255e4b0a5c410644c37-1543803494483_s_200x300,,https://piay.iflix.com/tv/ummi-15565,1,{'1': 13},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.15565.json
18533,Zombie Dumb,tv,free,"The world is swarming with zombies. The town is demolished and is now an empty place that the residents have deserted. At night, a group of zombie kids who each have different personalities, abilities, and values but act as one group of dumb friends wander around Moon Street. However, their lack of intelligence is always causing trouble. They get even dumber when the last human kid appears before them and brings even more problems. Tonight, the foolish but happy kids do slapstick situational comedy on Moon Street.","The world is swarming with zombies. The town is demolished and is now an empty place that the residents have deserted. At night, a group of zombie kids who each have different personalities, abilities, and values but act as one group of dumb friends wander around Moon Street. However, their lack of intelligence is always causing trouble. They get even dumber when the last human kid appears before them and brings even more problems. Tonight, the foolish but happy kids do slapstick situational comedy on Moon Street.","Go Sung-il,Lee Soo-yeon,Park Min-sun",Lee Hyun-sik,Kids,"Comedy,Animation,Family",https://iflix-images.akamaized.net/5d6e2d0ce4b0918f26285404-1567501581239_s_200x300,,https://piay.iflix.com/tv/zombie-dumb-18533,2,"{'1': 60, '2': 52}",https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.18533.json
13466,Snow White With The Red Hair,tv,premium,"The Prince from Shirayuki’s home country orders her to be his concubine. Due to this, Shirayuki feels troubled and leaves her country. In the woods, she meets Zen, the second prince of the neighboring country, Clarines. Shirayuki then moves to Clarines, which causes her relationship with Zen to deepen. What decision will the brave and fearless Shirayuki make? The story unfolds now.","The Prince from Shirayuki’s home country orders her to be his concubine. Due to this, Shirayuki feels troubled and leaves her country. In the woods, she meets Zen, the second prince of the neighboring country, Clarines. Shirayuki then moves to Clarines, which causes her relationship with Zen to deepen. What decision will the brave and fearless Shirayuki make? The story unfolds now.",,,Anime,,https://iflix-images.akamaized.net/5a825bd3e4b0dba7805f99b3-1533197043043_s_200x300,,https://piay.iflix.com/tv/snow-white-with-the-red-hair-13466,1,{'1': 24},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.13466.json
10966,Your Lie In April,tv,free,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?","Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",,,Anime,"Drama,Music",https://iflix-images.akamaized.net/59ccca75e4b0d086844c98bf-1530606594373_s_200x300,,https://piay.iflix.com/tv/your-lie-in-april-10966,1,{'1': 22},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.10966.json
12368,Nella The Princess Knight,tv,premium,"The adventures of a caring and graceful 8-year-old princess, who's also a brave, determined knight.","The adventures of a caring and graceful 8-year-old princess, who's also a brave, determined knight.","Akira Golz,Matthew Gumley,Samantha Hahn",,Kids,"Animation,Family",https://iflix-images.akamaized.net/5a124daae4b0db01fa607ca2-1531982894010_s_200x300,,https://piay.iflix.com/tv/nella-the-princess-knight-12368,1,{'1': 0},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.12368.json
16551,ZooMoo's Top 5,tv,free,Chuck and Lemur count down the top five.,Chuck and Lemur count down the top five.,,,Kids,,https://iflix-images.akamaized.net/5c5bf9a4e4b0bda0b40a79da-1549531556891_s_200x300,,https://piay.iflix.com/tv/zoomoo's-top-5-16551,1,{'1': 20},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.16551.json
11470,Woh Aik Pal,tv,free,"An accident happens which brings Unaiza, Hina, and Arish together. This results in a strange and complex triangle.","An accident happens which brings Unaiza, Hina, and Arish together. This results in a strange and complex triangle.","Aisha Khan,Feroz Khan,Ramsha Khan,Alyy Khan,Zara Tareen,Shamail Khan,Yasir Mazhar,and others.",,Drama,Romance,https://iflix-images.akamaized.net/59a6593ae4b0bbe1d9f685f6-1531722912133_s_200x300,,https://piay.iflix.com/tv/woh-aik-pal-11470,1,{'1': 0},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.11470.json
16547,ZooMoo Groove,tv,free,"When a spaceship of adorable characters called Zoomers land on world famous ZooMoo Island, they find themselves in need of a new home. Enter trusted ZooMoo Island ranger Seth as he takes each Zoomer - and the audience - on a musical journey though the island’s diverse and exciting habitats to find a home for each of our new friends.","When a spaceship of adorable characters called Zoomers land on world famous ZooMoo Island, they find themselves in need of a new home. Enter trusted ZooMoo Island ranger Seth as he takes each Zoomer - and the audience - on a musical journey though the island’s diverse and exciting habitats to find a home for each of our new friends.",,,Kids,,https://iflix-images.akamaized.net/5c5be428e4b006f4af9dfd38-1549526056992_s_200x300,,https://piay.iflix.com/tv/zoomoo-groove-16547,1,{'1': 8},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.16547.json
16550,ZooMooPedia,tv,free,ZooMooPedia answers the questions kids have always wanted to know about their favourite animals.,ZooMooPedia answers the questions kids have always wanted to know about their favourite animals.,,,Kids,,https://iflix-images.akamaized.net/5c5bf7d6e4b0d897abd6922d-1549531095437_s_200x300,,https://piay.iflix.com/tv/zoomoopedia-16550,1,{'1': 20},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.16550.json
12018,Will,tv,free,"The wild story of young William Shakespeare's arrival onto the punk-rock theater scene in 16th century London -- the seductive, violent world where his raw talent faced rioting audiences, religious fanatics and raucous side-shows. It's a contemporary version of Shakespeare's life, played to a modern soundtrack that exposes all his recklessness, lustful temptations and brilliance.","The wild story of young William Shakespeare's arrival onto the punk-rock theater scene in 16th century London -- the seductive, violent world where his raw talent faced rioting audiences, religious fanatics and raucous side-shows. It's a contemporary version of Shakespeare's life, played to a modern soundtrack that exposes all his recklessness, lustful temptations and brilliance.","Laurie Davidson,Olivia DeJonge,Ewen Bremner",,Drama,Romance,https://iflix-images.akamaized.net/5a2e3881e4b027befa182948-1529403632097_s_200x300,,https://piay.iflix.com/tv/will-12018,1,{'1': 10},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.12018.json
13687,Horror Delivery Service,tv,free,"""Horror Delivery Service"" is a mini thriller. Once in a while, everyone has eerie imaginations about things that could happen in familiar settings -- a family apartment, on an elevator, on the way home from class and by the relaxing river. In each stand-alone episode, those imaginations are turned into urban tales that shatter the peace and normality of everyday life.","""Horror Delivery Service"" is a mini thriller. Once in a while, everyone has eerie imaginations about things that could happen in familiar settings -- a family apartment, on an elevator, on the way home from class and by the relaxing river. In each stand-alone episode, those imaginations are turned into urban tales that shatter the peace and normality of everyday life.","Juyoung Lee(Juyoung),So-Nee Jeon(So-Nee),Toochul Lim(man)",,Horror,Horror,https://iflix-images.akamaized.net/5abe03e4e4b008f0b3c34e15-1531983372725_s_200x300,,https://piay.iflix.com/tv/horror-delivery-service-13687,1,{'1': 7},https://iflix-data.akamaized.net/5/vn/adults/contents/shows/tv.13687.json
