title,type,description,cast,creators,directors,genres,mpaa,poster,duration,url,seasons,api_url
Bernie,movie,"In small town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.","Matthew McConaughey,Shirley MacLaine,Jack Black",,Richard Linklater,Comedy,PG-13,http://imghost.device.screenmedia.net/30c0f409-3f62-4d4e-9dc4-8057458d73ca-1551456222.jpg,5940,https://www.popcornflix.com/movie/18-etdhiqzcq72a-bernie,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Lift,movie,"When Sean tries to escape after viciously attacking a security guard, he finds himself trapped in a powerless elevator with five strangers. The police are on their way and only his fellow captives can offer him a chance at redemption.","Gerard McSorley,Fiach Kunz,Hannah Crowley",,Conor Armstrong Safney,Comedy,,http://imghost.device.screenmedia.net/e2397216-1c8c-4d42-974f-36958caa4841-1548951508.jpg,4680,https://www.popcornflix.com/movie/18-2a8qsfpwxfrd-lift,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Uncle Nino,movie,"A distant, slightly dysfunctional family is brought closer together when the father's long-estranged Uncle Nino comes from Italy to Chicago for a surprise visit.","Pierrino Mascarino,Joe Mantegna,Anne Archer",,Robert Shallcross,Comedy,PG,http://imghost.device.screenmedia.net/55768_unclenino_214x306.jpg,6120,https://www.popcornflix.com/movie/18-oel9qfo7n6gu-uncle-nino,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Country Remedy,movie,"Le docteur Evan Gibbs passe l'été dans les montagnes de Caroline du Nord pour y ouvrir un dispensaire. En arrivant a Dunn's Rock avec son fils de 10 ans, il redécouvre l'essentiel et apprend a apprécier les choses simples. Une belle histoire sur les bienfaits du sens de la famille et la communauté.","Bellamy Young,Aidan Mitchell,Cameron Bancroft",,Andrew C. Erin,Comedy,PG,http://imghost.device.screenmedia.net/30458_CountryRemedy_214x306FR.jpg,6120,https://www.popcornflix.com/movie/18-0e74fb81-a8fa-4a8d-8fc2-f8e188cf5d2f-country-remedy,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
3rd Rock from the Sun,series,"The high commander of an alien expedition lands on Earth -- what he considers to be the least-important planet -- in human form as Dick Solomon. Along for the ride are his alien compatriots Harry, Sally and Tommy -- who is the eldest of the group but is now angrily trapped in a teen's body.","John Lithgow,Joseph Gordon-Levitt,Kristen Johnston",,"Terry Hughes, Robert Berlinger",Comedy,PG,https://media.unreel.me/prod/popcornflix/posters/7e8cfded-49c2-4f46-847d-129830bbee0b,,https://www.popcornflix.com/series/18-swemhgurxweq-3rd-rock-from-the-sun,6,https://api.unreel.me/v2/sites/popcornflix/channels/COMEDY/series?__site=popcornflix&__source=web&page=0&pageSize=10000
City Hunter,movie,"While searching for the daughter of a Japanese publishing magnate, private investigator Ryu Saeba (Jackie Chan) and his assistant Kaori (Joey Wang) are caught up in the middle of a cruise liner highjacking. It's up to Ryu to save the day... but can he do it on an empty stomach? -- presented by Shout! Factory TV","Kumiko Goto,Richard Norton,Chingmy Yau,Jackie Chan,Joey Wang",,Jing Wong,Comedy,PG-13,http://imghost.device.screenmedia.net/55239_CityHunter_214x306.jpg,6000,https://www.popcornflix.com/movie/18-wo7z3wqa65gr-city-hunter,,https://api.unreel.me/v2/sites/popcornflix/channels/BROS-MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Maul Dogs,movie,"Murs and his Friends, Dee 1 and Tabi, have successful businesses in LA's inner city until the landlord gambles away the strip mall to the local gang boss and bowling kingpin Devine. To pay him back and save their stores they decide to enter a bowling tournament whose grand prize is enough to buy back the strip. Having no bowling skills doesn't stop these characters as they try to defeat the thug and his goons in order to save the neighborhood.","Dee 1,Eric Roberts,Murs,Tabi Bonney",,Ali Zamani,Comedy,,http://imghost.device.screenmedia.net/55681_mauldogs_214x306.jpg,6060,https://www.popcornflix.com/movie/18-qzhcycf9jzpc-maul-dogs,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
L Equipee Infernale,movie,"A 17 ans, Fraser n'a qu'une ambition dans la vie  -  devenir un héros. L'occasion se présente quand deux malfrats prennent sa petite amie en otage. Pour la retrouver, il entraîne dans la course-poursuite un certain Mac, un individu pas commode qui possède l'expérience des armes et de l'action.","Ami Dolenz,Stephen Dorff,Michael Dudikoff",,Arthur Allan Seidelman,Comedy,R,http://imghost.device.screenmedia.net/24432_rescueme_rokuFrench.jpg,5700,https://www.popcornflix.com/movie/18-64e31340-f461-404c-8fcd-ae09295d3f15-l-equipee-infernale,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Killer Bees,movie,"Produced by Shaquille O'Neal, Killer Bees tells the story of the legendary Bridgehampton High basketball team that wins titles while battling racism, gentrification and absurd income inequality in The Hamptons.",,,,,,https://media.unreel.me/prod/popcornflix/posters/d753da38-1541-49b1-a821-7f97137faad7,5100,https://www.popcornflix.com/movie/30-fqzvr4wwjxd4-killer-bees,,https://api.unreel.me/v2/sites/popcornflix/channels/--NOT_SELECTED-/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Badges of Fury,movie,"When a spate of eerie murders erupts across Hong Kong, two troublemaking cops are assigned to the case. Young maverick WANG teams up with grizzled vet HUANG who is fed up with his reckless younger partner always landing them in hot water. Reaching a dead end after discovering all the victims were former boyfriends of aspiring starlet LIU, the detectives must play a deadly game. One of them must go undercover as Liu's lover to lure the killer out.","Michelle Chen,Shi Shi Liu,Zhang Wen,Jet Li",,Tsz Ming Wong,Action/Thriller,,http://imghost.device.screenmedia.net/54669_BadgesOfFury_214x306.jpg,5880,https://www.popcornflix.com/movie/18-okncprcyhfng-badges-of-fury,,https://api.unreel.me/v2/sites/popcornflix/channels/BROS-MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Adventures of Tintin,movie,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,"Jamie Bell,Andy Serkis,Daniel Craig",,Steven Spielberg,Family/Kids,PG,http://imghost.device.screenmedia.net/51037_AdventuresOfTinTin_214x306.jpg,6420,https://www.popcornflix.com/movie/18-3e19202e-db81-46e3-ae3a-1da1efee254d-adventures-of-tintin,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Galaxy Quest,movie,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",,,,,,https://media.unreel.me/prod/popcornflix/posters/8b8f3bfe-adc7-4efa-aaf0-72321ee11088,6120,https://www.popcornflix.com/movie/30-krysx2sysovu-galaxy-quest,,https://api.unreel.me/v2/sites/popcornflix/channels/COMEDY/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Belles a Mourir,movie,"A Mount Rose a lieu un concours de beauté annuel pour ados incarnant les valeurs positives de l'Amérique. Concourir n'est pas juste un rêve, c'est une guerre sans merci. Tout ce qui compte, c'est d'être la gagnante. A Mount Rose, on gagne comme on peut... ou on se tue a essayer.","Denise Richards,Ellen Barkin,Kirsten Dunst",,Michael Patrick Jann,,PG-13,http://imghost.device.screenmedia.net/25582_DropDeadGorgeous_214x306_French.jpg,5880,https://www.popcornflix.com/movie/18-82565522-4575-4863-abc5-68bbd3c522bf-belles-a-mourir,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
All Things Must Pass,movie,"Everyone thinks they know what killed Tower Records -  The Internet. But that's not the story. “All Things Must Pass” examines this iconic company's explosive trajectory, tragic demise, and legacy forged by its rebellious founder Russ Solomon.",,,,,,https://media.unreel.me/prod/popcornflix/posters/adfe4000-4768-4448-826a-4353f0b6b22b,5760,https://www.popcornflix.com/movie/30-xftre35bzbuc-all-things-must-pass,,https://api.unreel.me/v2/sites/popcornflix/channels/--NOT_SELECTED-/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Fire City -  End of Days,movie,"Vine, a disillusioned demon, secretly lives with others of his kind in the world of humans sustained by their misery. Forced into a choice to save his brethren or an innocent human girl, the delicate balance between human and demon kind is threatened, which may result in war.","Keely Aloña,Tobias Jelinek,Danielle C. Ryan",,Tom Woodruff Jr.,Horror,,http://imghost.device.screenmedia.net/55830_FireCity_214x306.jpg,6000,https://www.popcornflix.com/movie/18-u1zql9qbazs1-fire-city-end-of-days,,https://api.unreel.me/v2/sites/popcornflix/channels/BROS-MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Mojave Moon,movie,"Al McCord déjeune dans son restaurant favori lorsqu'il croise une séduisante jeune femme, Ellie, qui cherche a se rendre dans le désert de Mojave, où vit sa mère, Julie. Il décide de l'emmener avec lui. C'est alors que les problèmes apparaissent  -  alors qu'Ellie commence a tomber amoureuse d'Al.","Danny Aiello,Anne Archer,Michael Biehn",,Kevin Dowling,Comedy,R,http://imghost.device.screenmedia.net/24422_mojavemoon_rokuFrench.jpg,5700,https://www.popcornflix.com/movie/18-62a709cb-d8fb-462b-afc6-d65d6a20d65d-mojave-moon,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
The Naked Gun 2 1/2 The Smell of Fear,movie,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,,,,,,https://media.unreel.me/prod/popcornflix/posters/dd270d4f-ffe6-45fb-a6a2-8be045a7f9f8,5100,https://www.popcornflix.com/movie/30-6cbtchbxn7vx-the-naked-gun-2-12-the-smell-of-fear,,https://api.unreel.me/v2/sites/popcornflix/channels/COMEDY/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Forensic Files,series,"An infant was rushed to a Cleveland emergency room with serious breathing problems. The baby's lungs were bleeding. Within months, there were more than 30 cases -- an incidence more than a thousand times higher than anywhere else in the world. Doctors had never seen anything like it, and searched frantically for the cause and a cure.",Peter Thomas,,,,TV-14,http://imghost.device.screenmedia.net/cf217f77-8ac0-4b3d-a4df-a9655a4aa317-1598916011.jpg,,https://www.popcornflix.com/series/18-gk66kbkmytjs-forensic-files,2,https://api.unreel.me/v2/sites/popcornflix/channels/ALL-TVSHOWS_SERIES/series?__site=popcornflix&__source=web&page=0&pageSize=10000
Rann,movie,"Vijay Harshvardhan Malik heads a TV news channel that swears by its ethical code of relaying news. But when the channel begins to lose the ratings race to a rival channel that deals in sensationalism his ambitious son tries to win the ratings war by stooping to an all new low, ethics be damned.","Paresh Rawal,Amitabh Bachchan,Ritesh Deshmukh,Sudeep",,Ram Gopal Varma,,,http://imghost.device.screenmedia.net/6afcaf91-70d4-4cd9-8706-d5d7f00f52f4-3.jpg,7920,https://www.popcornflix.com/movie/18-6afcaf91-70d4-4cd9-8706-d5d7f00f52f4-rann,,https://api.unreel.me/v2/sites/popcornflix/channels/BOLLYWOOD_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
The Thieves,movie,"In order to let things cool down from their latest heist, Popeye and his group of thieves go to Macau on a job. But the mastermind behind this job is none other than Popeye's old partner Macau Park, who escaped with 68kg of gold several years ago on their last job together. Macau Park brought Chinese thieves as well but little did they know what Macau Park planned for each one of them. His plan takes an unexpected turn when Popeye brings Pepsi, a genius safe-cracker and old flame of Macau Park, to settle the old score. The thieves' target is a $20 million diamond known as 'Tear of the Sun', kept safely away in a casino, brought there to be sold by a notorious Chinese fence. While working together to steal this fabled diamond, they all have their own agenda to keep the diamond for themselves. But who will succeed and live to see another day?","Yun-seok Kim,Jung-jae Lee,Hye-su Kim,Ji-hyun Jun",,Dong-hoon Choi,,,http://imghost.device.screenmedia.net/54637_Theives_214x306.jpg,8160,https://www.popcornflix.com/movie/18-cb37edb6-fd1e-44c3-8d8c-35d01f28d96d-the-thieves,,https://api.unreel.me/v2/sites/popcornflix/channels/ASIAN-ACTION/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
The Borrower,movie,"Condamné a l'exil sur terre par sa planète, un criminel extraterrestre a un privilège -  pour survivre, il a le droit de se glisser dans un corps humain. Mais passé un certain délai, la tête explose! Ce qui entraîne a Los Angeles une vague de décapitations sur laquelle enquêtent des policiers.","Rae Dawn Chong,Don Gordon,Tom Towles",,John McNaughton,Comedy,R,http://imghost.device.screenmedia.net/25046_Borrower_214x306_French.jpg,5640,https://www.popcornflix.com/movie/18-69be77ae-1429-4ca7-93be-172400588293-the-borrower,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
The Lazarus Papers,movie,"Deep in the jungles of Southeast Asia, bloodthirsty mercenary Sebastian (Gary Daniels) hunts for the thrill of the chase and victims to sell into slavery, while the local witchdoctor (Danny Trejo) observes from beyond.","Bai Ling,Danny Trejo,Damon Whitaker,Gary Daniels,John Edward Lee,Tommy ‘Tiny' Lister,Krystal Vee",,Jeremiah Hundley,,R,http://imghost.device.screenmedia.net/68d4fb25-35c4-4179-a4a3-d962ef25f04e-1597440710.jpg,5400,https://www.popcornflix.com/movie/18-z4ii5qjz5u96-the-lazarus-papers,,https://api.unreel.me/v2/sites/popcornflix/channels/--NOT_SELECTED-/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Retina,movie,"A young woman participates in a medical study. After a series of nightmares and unusual side effects, the line between dreams and reality is blurred. She finds herself on the run from those involved, desperate to uncover the truth.","Lindsay Goranson,Gary Swanson",,Carlos Ferrer,Action/Thriller,,http://imghost.device.screenmedia.net/cb48b608-8d04-4e80-bdf1-bbb79d562681-1548951308.jpg,5220,https://www.popcornflix.com/movie/18-x9jn1nsevfmh-retina,,https://api.unreel.me/v2/sites/popcornflix/channels/BROS-MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
9.5 Ninjas,movie,"En conflit avec un promoteur immobilier, Lisa Thorne est en danger. Elle décide d'apprendre l'autodéfense avec Joe Vogue, redoutable maître ninja. Mais Lisa est une bombe ! Joe, qui a peu l'expérience des femmes, est perturbé par sa beauté. C'est dur, le kung-fu, avec une adepte du corps a corps!","Michael Phenicie,Andee Gray,Robert Fieldsteel",,Aaron Barsky,Comedy,R,http://imghost.device.screenmedia.net/24469_9ninjas_french_roku.jpg,5640,https://www.popcornflix.com/movie/18-7e41ecbe-a993-480d-808c-a351d06f719e-95-ninjas,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
